Barangay,Motivation for choosing businesses,Shopping traits,Factors for new business,Shopping style,Values
Baclaran,Convenience,Spontaneous,Curiosity,Impulsive,Sustainability
Baclaran,Customer Service,Spontaneous,Reputation,Impulsive,Affordability
Baclaran,Convenience,Trend-Follower,Advertisement,Planned,Community Support
Baclaran,Variety of Products/Services,Trend-Follower,Curiosity,Planned,Community Support
Baclaran,Price,Detail-Oriented,Curiosity,Impulsive,Community Support
Baclaran,Customer Service,Spontaneous,Curiosity,Impulsive,High Standard and Consistency
Baclaran,Customer Service,Practical,Advertisement,Research-Driven,High Standard and Consistency
Baclaran,Price,Detail-Oriented,Advertisement,Planned,Community Support
Baclaran,Customer Service,Detail-Oriented,Advertisement,Planned,Affordability
Baclaran,Price,Spontaneous,Curiosity,Planned,Affordability
Baclaran,Price,Spontaneous,Reputation,Planned,Sustainability
Baclaran,Convenience,Practical,Reputation,Research-Driven,Sustainability
Baclaran,Variety of Products/Services,Practical,Curiosity,Impulsive,Affordability
Baclaran,Customer Service,Detail-Oriented,Advertisement,Research-Driven,Community Support
Baclaran,Customer Service,Trend-Follower,Curiosity,Impulsive,High Standard and Consistency
Baclaran,Price,Loyal,Reputation,Research-Driven,Trustworthiness
Baclaran,Variety of Products/Services,Detail-Oriented,Recommendation,Impulsive,High Standard and Consistency
Baclaran,Convenience,Detail-Oriented,Recommendation,Research-Driven,Trustworthiness
Baclaran,Quality,Trend-Follower,Promotions,Research-Driven,Sustainability
Baclaran,Variety of Products/Services,Adventurous,Advertisement,Research-Driven,High Standard and Consistency
Banaybanay,Variety of Products/Services,Spontaneous,Reputation,Impulsive,High Standard and Consistency
Banaybanay,Price,Practical,Advertisement,Research-Driven,Community Support
Banaybanay,Variety of Products/Services,Practical,Advertisement,Planned,Community Support
Banaybanay,Customer Service,Spontaneous,Advertisement,Impulsive,Sustainability
Banaybanay,Price,Trend-Follower,Advertisement,Research-Driven,High Standard and Consistency
Banaybanay,Convenience,Detail-Oriented,Curiosity,Research-Driven,Affordability
Banaybanay,Convenience,Detail-Oriented,Advertisement,Impulsive,Community Support
Banaybanay,Customer Service,Spontaneous,Advertisement,Research-Driven,Affordability
Banaybanay,Customer Service,Spontaneous,Advertisement,Planned,Affordability
Banaybanay,Price,Trend-Follower,Advertisement,Impulsive,Sustainability
Banaybanay,Price,Spontaneous,Promotions,Planned,Sustainability
Banaybanay,Convenience,Loyal,Promotions,Research-Driven,Trustworthiness
Banaybanay,Quality,Detail-Oriented,Reputation,Planned,Trustworthiness
Banaybanay,Convenience,Spontaneous,Promotions,Research-Driven,Trustworthiness
Banaybanay,Variety of Products/Services,Detail-Oriented,Reputation,Impulsive,Community Support
Banaybanay,Price,Detail-Oriented,Curiosity,Impulsive,Trustworthiness
Banaybanay,Price,Spontaneous,Curiosity,Impulsive,Community Support
Banaybanay,Quality,Loyal,Promotions,Impulsive,Affordability
Banaybanay,Variety of Products/Services,Spontaneous,Recommendation,Impulsive,Affordability
Banaybanay,Quality,Loyal,Curiosity,Impulsive,Affordability
Banlic,Variety of Products/Services,Trend-Follower,Reputation,Research-Driven,High Standard and Consistency
Banlic,Price,Practical,Advertisement,Impulsive,Sustainability
Banlic,Price,Detail-Oriented,Reputation,Planned,Affordability
Banlic,Convenience,Practical,Curiosity,Research-Driven,Sustainability
Banlic,Price,Practical,Curiosity,Impulsive,Sustainability
Banlic,Variety of Products/Services,Practical,Reputation,Planned,Community Support
Banlic,Customer Service,Spontaneous,Curiosity,Planned,Sustainability
Banlic,Customer Service,Detail-Oriented,Advertisement,Impulsive,High Standard and Consistency
Banlic,Price,Trend-Follower,Reputation,Planned,Community Support
Banlic,Variety of Products/Services,Practical,Reputation,Impulsive,High Standard and Consistency
Banlic,Quality,Practical,Reputation,Planned,Affordability
Banlic,Variety of Products/Services,Adventurous,Promotions,Planned,Trustworthiness
Banlic,Price,Loyal,Curiosity,Planned,Affordability
Banlic,Price,Trend-Follower,Reputation,Impulsive,Trustworthiness
Banlic,Convenience,Trend-Follower,Reputation,Planned,High Standard and Consistency
Banlic,Price,Loyal,Recommendation,Planned,Community Support
